2023/04/25 10:17:31 [notice] 1#1: using the "epoll" event method
2023/04/25 10:17:31 [notice] 1#1: nginx/1.23.4
2023/04/25 10:17:31 [notice] 1#1: built by gcc 10.2.1 20210110 (Debian 10.2.1-6) 
2023/04/25 10:17:31 [notice] 1#1: OS: Linux 5.15.90.1-microsoft-standard-WSL2
2023/04/25 10:17:31 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2023/04/25 11:14:16 [notice] 1#1: using the "epoll" event method
2023/04/25 11:14:16 [notice] 1#1: nginx/1.23.4
2023/04/25 11:14:16 [notice] 1#1: built by gcc 10.2.1 20210110 (Debian 10.2.1-6) 
2023/04/25 11:14:16 [notice] 1#1: OS: Linux 5.15.90.1-microsoft-standard-WSL2
2023/04/25 11:14:16 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2023/04/25 11:14:16 [notice] 1#1: start worker processes
2023/04/25 11:14:16 [notice] 1#1: start worker process 29
2023/04/25 11:14:16 [notice] 1#1: start worker process 30
2023/04/25 11:14:16 [notice] 1#1: start worker process 31
2023/04/25 11:14:16 [notice] 1#1: start worker process 32
2023/04/25 11:14:16 [notice] 1#1: start worker process 33
2023/04/25 11:14:16 [notice] 1#1: start worker process 34
2023/04/25 11:14:16 [notice] 1#1: start worker process 35
2023/04/25 11:14:16 [notice] 1#1: start worker process 36
2023/04/25 11:14:16 [notice] 1#1: start worker process 37
2023/04/25 11:14:16 [notice] 1#1: start worker process 38
2023/04/25 11:14:16 [notice] 1#1: start worker process 39
2023/04/25 11:14:16 [notice] 1#1: start worker process 40
